date,date1,date2,date3,date4,date5,OT,OT,OT
6.034044,5.476247,47.514211,4248.029199,-0.293104,38.026461,7.662458,2.854450,-28.998209
6.077611,5.510983,47.481867,4243.815789,-0.285842,37.955887,7.682457,2.861813,-28.998202
6.121163,5.544727,47.449550,4239.589846,-0.282383,37.887769,7.703735,2.867558,-28.998215
6.165955,5.578563,47.418535,4235.355025,-0.277237,37.818052,7.721466,2.876153,-28.998163
6.209316,5.614543,47.388044,4231.105542,-0.272593,37.747301,7.738924,2.882854,-29.000976
6.254794,5.650757,47.356744,4226.844250,-0.266931,37.675160,7.757907,2.888175,-29.000046
6.298847,5.684012,47.326573,4222.572862,-0.260410,37.603008,7.775599,2.895358,-29.001569
6.342874,5.717725,47.297294,4218.290966,-0.254120,37.531264,7.790737,2.899461,-29.000412
6.386462,5.752681,47.269002,4213.997308,-0.249376,37.458588,7.806072,2.905687,-29.001390
6.430156,5.787777,47.241294,4209.693975,-0.244946,37.386026,7.818111,2.912692,-28.999397
6.476221,5.821457,47.215767,4205.383435,-0.240186,37.313820,7.833129,2.917422,-28.998244
6.521453,5.856163,47.190059,4201.061726,-0.234033,37.240155,7.847781,2.922043,-28.999024
6.567525,5.891166,47.164556,4196.731485,-0.229724,37.164850,7.859626,2.927101,-28.998980
6.612276,5.925034,47.139456,4192.392472,-0.224446,37.093104,7.870049,2.931145,-28.998777
6.656118,5.959189,47.114529,4188.048798,-0.216571,37.019986,7.881409,2.934933,-28.999189
6.700666,5.992369,47.090663,4183.695867,-0.208981,36.944865,7.890355,2.937804,-28.998441
6.745236,6.024676,47.069328,4179.337271,-0.202104,36.871678,7.899483,2.941644,-28.998875
6.791115,6.059879,47.046720,4174.972293,-0.197313,36.797883,7.907301,2.942318,-28.999042
6.835917,6.093281,47.026901,4170.602976,-0.190723,36.724598,7.912718,2.945559,-28.997338
6.880158,6.128872,47.005262,4166.227690,-0.184196,36.651011,7.918718,2.949219,-28.997749
6.924196,6.161562,46.984560,4161.847505,-0.177544,36.577387,7.924934,2.950773,-28.997500
6.967875,6.195433,46.965721,4157.463590,-0.172160,36.502892,7.927865,2.952591,-28.996513
7.014766,6.232295,46.947630,4153.075240,-0.165126,36.431015,7.932788,2.954651,-28.997389
7.059480,6.264381,46.928820,4148.683436,-0.160047,36.357893,7.935895,2.956321,-28.998836
7.103029,6.296854,46.912420,4144.287646,-0.153054,36.282760,7.939074,2.957018,-29.001149
7.148661,6.331971,46.895126,4139.891129,-0.146848,36.209745,7.940920,2.958596,-29.001875
7.193426,6.363910,46.879157,4135.489928,-0.141051,36.136428,7.941405,2.959665,-29.002335
