date,date1,date2,date3,date4,date5,OT,OT,OT
4.68608,4.38129,48.59842,4368.21275,-0.30217,40.00869,6.95719098669918,2.5917366972572937,-28.99999951
4.73087,4.41897,48.56366,4364.39606,-0.30611,39.94637,6.9790838662685,2.5998923709331954,-28.99999951
4.77566,4.45658,48.52848,4360.56799,-0.3098,39.88381,7.001397108785224,2.6082046408674198,-28.99999951
4.82046,4.4941,48.49293,4356.72824,-0.31322,39.82101,7.024103202856831,2.6166632583423843,-28.99999951
4.86526,4.53155,48.45704,4352.87654,-0.31637,39.75797,7.047173633786169,2.6252576008831334,-28.99999951
4.91006,4.56891,48.42084,4349.01261,-0.31925,39.69467,7.070578916249067,2.633976684430608,-28.99999951
4.95486,4.6062,48.38436,4345.13621,-0.32184,39.63113,7.094288630643909,2.6428091768828175,-28.99999951
4.99966,4.6434,48.34763,4341.2471,-0.32415,39.56732,7.118271463257302,2.6517434130576096,-28.99999951
5.04447,4.68052,48.31069,4337.34508,-0.32617,39.50325,7.142495250340819,2.6607674111124173,-28.99999951
5.08927,4.71756,48.27357,4333.42993,-0.32789,39.43892,7.166927026206532,2.6698688904611068,-28.99999951
5.13408,4.75453,48.2363,4329.50148,-0.32932,39.37433,7.191533075420622,2.679035291217475,-28.99999951
5.17889,4.7914,48.19892,4325.55957,-0.33044,39.30946,7.216278989123242,2.6882537951758767,-28.99999951
5.2237,4.8282,48.16147,4321.60404,-0.33126,39.24433,7.241129725522733,2.697511348346914,-28.99999951
5.26851,4.86492,48.12398,4317.63477,-0.33178,39.17892,7.266049674545326,2.706794685041151,-28.99999951
5.31332,4.90155,48.08648,4313.65167,-0.33198,39.11323,7.291002726613465,2.7160903534908463,-28.99999951
5.35813,4.9381,48.04901,4309.65463,-0.33189,39.04728,7.315952345494846,2.7253847429881426,-28.99999951
5.40294,4.97457,48.0116,4305.64359,-0.33148,38.98104,7.340861645112479,2.734664112498829,-28.99999951
5.44775,5.01095,47.97429,4301.61852,-0.33077,38.91453,7.365693470199585,2.7439146207084155,-28.99999951
5.49257,5.04725,47.93711,4297.57938,-0.32975,38.84774,7.390410480635693,2.7531223574395507,-28.99999951
5.53738,5.08347,47.9001,4293.52618,-0.32843,38.78067,7.414975239255349,2.762273376363071,-28.99999951
5.58219,5.1196,47.86329,4289.45893,-0.32681,38.71333,7.439350302913832,2.7713537289223797,-28.99999951
5.62701,5.15565,47.82671,4285.37768,-0.3249,38.64572,7.463498316528117,2.780349499366179,-28.99999951
5.67182,5.19161,47.7904,4281.28248,-0.32269,38.57783,7.487382109797881,2.789246840779587,-28.99999951
5.71663,5.22749,47.75439,4277.17343,-0.32019,38.50966,7.510964796267459,2.7980320119873303,-28.99999951
5.76144,5.26328,47.7187,4273.05062,-0.31741,38.44123,7.534209874365351,2.80669141519361,-28.99999951
5.80626,5.29899,47.68338,4268.91419,-0.31436,38.37253,7.557081330021064,2.8152116342095783,-28.99999951
5.85107,5.33461,47.64845,4264.76428,-0.31104,38.30357,7.579543740430901,2.8235794731088304,-28.99999951
5.89588,5.37015,47.61394,4260.60107,-0.30745,38.23435,7.601562378515971,2.8317819951407546,-28.99999951
5.94069,5.4056,47.57987,4256.42475,-0.30361,38.16486,7.623103317599624,2.839806561725634,-28.99999951
5.9855,5.44096,47.54628,4252.23553,-0.29952,38.09513,7.644133535808231,2.8476408713466834,-28.99999951
6.0303,5.47624,47.51319,4248.03364,-0.2952,38.02514,7.664621019670043,2.855272998143351,-28.99999951
6.07511,5.51143,47.48063,4243.81934,-0.29065,37.95491,7.684534866403193,2.862691430016292,-28.99999951
6.11991,5.54653,47.44862,4239.5929,-0.28588,37.88444,7.7038453843316885,2.869885106034962,-28.99999951
6.16472,5.58155,47.41717,4235.35461,-0.28091,37.81373,7.722524190909888,2.8768434529543208,-28.99999951
6.20952,5.61648,47.38633,4231.10479,-0.27574,37.74279,7.7405443078009215,2.8835564206340423,-28.99999951
6.25432,5.65132,47.35609,4226.84375,-0.27039,37.67163,7.757880252476544,2.8900145161618678,-28.99999951
6.29912,5.68607,47.32649,4222.57184,-0.26487,37.60025,7.774508125816939,2.8962088364868435,-28.99999951
6.34391,5.72073,47.29754,4218.28943,-0.25918,37.52866,7.7904056951831055,2.902131099365965,-28.99999951
6.38871,5.75531,47.26925,4213.99689,-0.25336,37.45686,7.805552472476064,2.907773672443288,-28.99999951
6.4335,5.78979,47.24164,4209.6946,-0.2474,37.38487,7.819929786722084,2.9131296002898353,-28.99999951
6.47829,5.82419,47.21472,4205.38298,-0.24132,37.31268,7.833520850724242,2.9181926292330553,-28.99999951
6.52307,5.8585,47.18851,4201.06243,-0.23514,37.2403,7.846310821371318,2.922957229823472,-28.99999951
6.56785,5.89272,47.163,4196.73338,-0.22887,37.16775,7.858286853258539,2.9274186168098257,-28.99999951
6.61263,5.92685,47.13822,4192.39628,-0.22253,37.09503,7.869438145241139,2.9315727664814943,-28.99999951
6.65741,5.96089,47.11416,4188.05156,-0.21612,37.02215,7.87975597967524,2.9354164312867597,-28.99999951
6.70218,5.99485,47.09083,4183.69968,-0.20967,36.94911,7.889233754068135,2.9389471516233656,-28.99999951
6.74695,6.02871,47.06823,4179.34111,-0.20319,36.87592,7.897867004984456,2.942163264744198,-28.99999951
6.79172,6.06248,47.04636,4174.9763,-0.19669,36.80259,7.905653424008892,2.9450639107038152,-28.99999951
6.83648,6.09617,47.02523,4170.60573,-0.19019,36.72914,7.912592865730873,2.947649035332954,-28.99999951
6.88124,6.12976,47.00483,4166.22988,-0.18371,36.65555,7.918687347676163,2.9499193902130454,-28.99999951
